,Total Return,CAGR,Volatility,Sharpe,Sortino,Max Drawdown,Win Rate,Trades
ML Signal,-1.56%,-1.09%,9.22%,-0.07,-0.04,-10.42%,63.64%,44
Buy & Hold,23.00%,15.46%,17.24%,0.92,1.20,-18.98%,100.00%,1
