,Total Return,CAGR,Volatility,Sharpe,Sortino,Max Drawdown,Win Rate,Trades
ML Signal,157.07%,92.61%,35.35%,2.03,2.17,-14.35%,63.16%,57
Buy & Hold,319.95%,170.79%,66.63%,1.82,3.09,-36.29%,100.00%,1
