,Total Return,CAGR,Volatility,Sharpe,Sortino,Max Drawdown,Win Rate,Trades
ML Signal,-6.45%,-4.52%,11.81%,-0.33,-0.14,-17.32%,62.50%,16
Buy & Hold,39.42%,25.95%,30.32%,0.91,1.25,-30.10%,100.00%,1
