,Total Return,CAGR,Volatility,Sharpe,Sortino,Max Drawdown,Win Rate,Trades
ML Signal,101.29%,62.74%,23.55%,2.18,2.59,-7.30%,55.93%,59
Buy & Hold,30.62%,20.44%,37.03%,0.68,1.18,-23.55%,100.00%,1
